"restaurant_name","place_id","username","user_review_id","review_date","rating","review_text"
"Badger & Dodo Roastery Outlet",3,"Michela Lagorio",1774,"6 months ago",5,"I always stop here for my morning coffee when I have time as it's delicious. The staff is always super friendly as well. Thank you !"
"Badger & Dodo Roastery Outlet",3,"Saoirs A",2238,"2 years ago",4,"I really love their coffee. Always delicious, always a friendly service. And I love to support a local business, however I’m dropping a star because today it cost me €4.40 for an oat milk cappuccino, that’s €1 more than a lot of other places in Cork. I just can’t afford to spend that much on a coffee. I will go here again as a treat but in general I can get delicious coffee elsewhere for cheaper. Other than that I couldn’t fault the place."
"The Floury Apron",4,"Michael Outlaw",1764,"3 months ago",5,"I have been trying for years to find a bakery in Cork that could prepare a southern-style caramel cake, a flavour of cake my wife loves because it reminds her of her childhood in the US. Most bakeries I contacted turned me down immediately because it would mean trying an unfamiliar recipe. At The Floury Apron, they not only took on my custom order, but stayed in contact with me for the couple weeks leading up to my wife's birthday while they tried out the first-time recipe and then asking what finishing touches I wanted in terms of decoration. The cake was exactly what we wanted, gorgeously decorated and tasted amazing! We were just blown away by the personal effort made by The Floury Apron to make this happen for us. Will 100% be coming back to them for any future cake orders!"
"The Floury Apron",4,"Tony Mc Keon",2528,"a month ago",5,"We recently ordered a sandwich platter for 15 people from the Floury Apron. They were absolutely top quality and we had a great mix of fillings in ciabatta , foccacia, wraps and slice pan.

Caroline was very attentive via email and followed up afterwards to make sure we were happy with our order. Food, service and value were all 10/10. Would highly recommended."
"Amicus",345,"Glauco Vendrame",974,"a year ago",5,"Good place to enjoy a dinner or lunch with someone you love.

I went with my wife to celebrate our day and we were very well served, the waiters thought about the details, always leaving the table clean."
"The Laurel Bar",6,"Cian O' Flynn",500,"a month ago",1,"Really really disappointing place in general. The interior was quite dingy and stuffy. The place looks quite careless thrown together with random stuff on the walls and a pool table that it is not in use.
A group and I tried to watch an Irish soccer game there one night. The commentary was 5 seconds behind the visuals and one of the screens was glitching. The women insisted everyone at our table bought something when actually 4 out of 5 of us bought something. She was quite rude, blunt and ill mannered. It really made us feel uncomfortable, unwanted and unappreciated. Out of the 100s of great pubs in Cork, this is definitely one of the to avoid."
"The Laurel Bar",6,"Pat O'Sullivan",1988,"2 months ago",1,"Though I've never been a customer of this bar.  The auld one who runs the bar needs to realise that the bar does not own the parking space outside the bar and by placing kegs outside the premises, does not mean that the general public cannot park there.  The woman who works there shouting abuse at me last week which was totally uncalled for."
"The Laurel Bar",6,"Stephen Kulik",2393,"Edited 3 years ago",5,"Best bar in cork!family run business and the staff and owners are literally the nicest people you could actually meet,Joe and Regina are just the best and they will literally treat you like your thier actual family, such lovely people and proper cork people supporting the community, A must visit if your in Cork City  Centre"
"The Laurel Bar",6,"denis o'leary",709,"7 years ago",5,"My first time in there on Friday, and it won't be my last. Lovely little bar, with great staff and costumers that engage in conversation. A great pint of larger !"
"The Laurel Bar",6,"MICHAEL O BRIEN",1762,"3 years ago",5,"Excellent bar for a quiet pint and watch a match or have a game of pool 🎱 or darts and great customers for a chat …"
"The Laurel Bar",6,"Andrea Malone",194,"a year ago",5,"Very good pub recommend coming here for a pint and a good game of pool."
"The Hyde Out",7,"Kathleen Healy",1382,"a month ago",5,"Went here for a match place was full was just about to leave when the owner saw us he moved things around and got us a table and seats, one of the best service ever!"
"The Hyde Out",7,"Hannah Looney",1015,"2 months ago",5,"10/10!
I love the Hyde Out… I would reccomemd trying the Spritz menu!
Staff are so lovely! Vibes are perfect!"
"The Hyde Out",7,"BeBe G",316,"4 months ago",4,"Grand bar TBF, pure chill...i was in a tracksuit watching the cork Match and they had no issue's with that. I couldn't say the same for the next bar I went to!"
"The Hyde Out",7,"Mateus Garcia",1698,"11 months ago",1,"the owner is so rude, I went three times, I think he doesn't like foreigners"
"The Hyde Out",7,"Rees",2106,"a month ago",3,"The guy behind the bar the first time I met him seemed OK but one morning I went in there to have a pint to wait for Coughlans to open he asked me was I OK and gave me stink eye I said ""I was fine"" he said OK I could have a pint and then leave after that . Haven't been back since."
"The Hyde Out",7,"Paul Looney",2016,"Edited a year ago",5,"Lovely staff, cool venue and great variety of drinks."
"The Hyde Out",7,"Karen Corcoran",1348,"2 years ago",5,"Had a Fantastic night with friends in a cozy welcoming bar with great service"
"The Hyde Out",7,"dara norton",631,"a year ago",5,"We had a fantastic leaving party here last sat night. Richard saoirse and Liam went out of their way to make sure we had a great time. Thanks a million guys. Great cocktails. Prosecco and pizza .  Really lovely cosy pub and the music was rocking !!"
"The Hyde Out",7,"john sheehan",1277,"2 years ago",5,"This is a lively bright and clean bar with a fantastic staff and great atmosphere 👏"
"Tara's Tea Rooms",8,"Jean-Francois LeBlanc",1178,"a week ago",5,"Awesome afternoon tea experience! Welcomed by awesome and friendly staff members. Lots of options in the menu, including all day breakfast.

Food was fresh, hot and tasted great! Highly recommended!"
"Tara's Tea Rooms",8,"I Ta",1062,"a month ago",5,"I'm dying of jealousy writing this comment because this cafe has become my favorite place. The food, the tea, the coffee, the beer, the service are 10/10000. Everything here is inexplicable, it's out of this world. Everything here is good, everything here is wonderful. I went here every day in a row in Cork. The Apple Spice tea is wonderful. Please try it. Everything is made here from the heart. I love this place. My friend and I call it Grandma's house because it evokes warmth and good things! I love it here!"
"Tara's Tea Rooms",8,"Hugo Oliveira",1060,"a month ago",5,"The coffee is delicious, the food is also delicious. The service is great and the place is very beautiful, such a cute place that you want to stay for hours because it is very pleasant to sit and have a great breakfast. I loved it."
"Tara's Tea Rooms",8,"Elizabeth Pearce",793,"2 months ago",5,"10/10 I had the quiche, salad and chips. It was all very good. My family and I enjoyed it. The staff are very friendly. Absolutely recommend stopping by!"
"Tara's Tea Rooms",8,"Jenn A",1191,"a month ago",5,"So cute! I was actually a bit ill the morning we went so I was relieved they had just toast as an option for this menu - my friend had eggs with spinach and we both enjoyed the food and atmosphere. It was petty busy that morning so service was on the slower side. If we were in Cork for longer we'd definitely come back!"
"Tara's Tea Rooms",8,"John Quinn",1273,"4 months ago",5,"Has a really great breakfast here this morning. I cannot remember the last time I had proper tea like this. Highly recommend!"
"Tara's Tea Rooms",8,"Faye Francis",867,"3 weeks ago",5,"stumbled on this tea room after a long day meandering Cork and it was truly a 12/10 experience. everyone’s so lovely and kind and it had the best vibes. you absolutely get bang for your buck. couldn’t recommend more"
"Tara's Tea Rooms",8,"Kristin Derr",1450,"a month ago",5,"The most adorable place I have ever had breakfast!  I had the Full Irish Breakfast and couldn’t finish it all - but I really wanted to.  Service was fast and friendly.  I also got a scone to go for later and it was delicious.  I cannot recommend this place highly enough!"
"Tara's Tea Rooms",8,"Riccardo Cuccu",2118,"a month ago",5,"Had a lovely brunch here! The service was warm and welcoming, and everything we ordered was truly delicious. The pancakes with maple syrup and mixed berries were great, but the real standout was the mocha cheesecake — absolutely amazing. We really enjoyed our time and would definitely come back."
"Tara's Tea Rooms",8,"Silvia Canevelli",2334,"3 months ago",5,"Lovely place, nice decoration inside, love tea and a special irish breakfast!"
"Comix Café",9,"David Consonni",659,"6 months ago",5,"Love to pop in for lunch every time I’m around the area, easy parking in front of the place. Portions are massive, had about 4 times the pork schnitzel and another few times the Carbonara, which really fills you up. Great spot for a quick lunch while working."
"Rearden's Bar",10,"Alexey Tretyakov",131,"3 years ago",5,"Good price for traditional Irish breakfast 10,95€ (18€ in Dublin for example), and expensive tea (like everywhere) for 4,50 but you have 3 cups of tea in fact, totally worth it. Friendly staff (double salary for Christophe! 😎), in morning nice seats with opened window. Soup of the the day is just amazing if you are not very hungry. …"
"Rearden's Bar",10,"G Ryan",910,"3 months ago",3,"Went when there was a jukebox band on, was a good vibe but drinks were a joke. Paid 24€ for a jack and coke and a vodka cran, got the same thing in another bar plus 2 shots for 19€, been a few times but would definitely have pre - drinks before going in, the people inside are a mix of mams and creeps, luck of the draw. Bartender ignored us 4 times before serving us. Also very little crowd control in there, it's like a tin of sardines"
"Rearden's Bar",10,"Wunmi Fasanya",2617,"2 years ago",5,"The Reardan’s in Cork was greattt! I absolutely loved it there ,  from the atmosphere to the staff to the people there 10/10! I was there for a Guinness live and rising event and it was superb! The staff were super accommodating and the bar itself is so cute 🥰
I’d never been out in Cork before but after being to Rearden’s, highly recommend 👍🏾"
"Rearden's Bar",10,"Yashpal Khapre",2628,"4 months ago",4,"Good place to rock your night, You have a lovely dance environment later in the nights, good staff, good vibe, good people, Entry is Free."
"Rearden's Bar",10,"Keven Kottenhahn",1411,"2 months ago",5,"Great pub- cool cocktails"
"Rearden's Bar",10,"Yalcin Kuzoren",2623,"7 years ago",5,"A great Irish Bar in Cork. Amazing bands come up for great concerts here... I do recommend. The staff are good. The music system is very satisfying. The prices are reasonable."
"Rearden's Bar",10,"Erin Cooper",843,"7 years ago",5,"Casual spot with a small but tasty menu. Staffed by friendly locals, which made for good conversation. Business picks up late at night, but we didn't have a problem getting a seat before 8. Free WiFi!"
"Southside Bar",11,"Bernard Wallace",336,"4 years ago",5,"Had a glass of coke ,trying out new rules for visiting public house ,beautiful decor ,lots of work put in during lockdown,most enjoyable clientele and staff."
"Southside Bar",11,"Timmy Jordan",2501,"2 years ago",5,"Had a good time  would certainly go back bar staff  very pleasant"
"Southside Bar",11,"Dolores Cooke",731,"2 years ago",5,"Connor very accomadating for a bunch of us,The bar is spotless,cosy fire too,we,ll be back😀😀 …"
"Southside Bar",11,"Emmet O'Shaughnessy",824,"8 years ago",5,"Great bar with friendly staff. Never too busy, good for a quiet night"
"Southside Bar",11,"Brendan Hussey",361,"a year ago",1,"Worst staff,owners I  mevwr came across, rude beyond belief, almost funny, faulty towers job"
"Southside Bar",11,"Conor Browne",558,"a year ago",1,"Wouldn’t leave us in, 22 is too young apparently."
"Southside Bar",11,"Mike Lehane",1794,"Edited 2 years ago",5,"Nice relaxing atmosphere, great  Beamish stout. Cheap prices."
"Southside Bar",11,"shane coyle",2315,"3 years ago",5,"Nice place for a relaxing drink and Connor behind the bar is a nice bloke"
"Southside Bar",11,"John Lonergan",1259,"5 years ago",5,"Great craic,music and sing song, very friendly atmosphere"
"Southside Bar",11,"Mairead Walsh",1602,"Edited 2 years ago",5,"Beautiful, clean and bright decor. Service second to none."
"Priory Coffee Co.",12,"Lucía Tacaliti",1563,"5 months ago",5,"The girl that served us was amazing!
We tried the vegan sausage and it was great.  Good coffee, a lot of veggie milk options 🌱"
"Priory Coffee Co.",12,"P. B.",1966,"Edited 4 years ago",5,"When you see a long queue  outside a small coffee house you you know it will be worth the wait.. Coffee brewed to perfection. Lady behind the counter only to happy the share the"" ins and outs"" of the treats on display"
"Priory Coffee Co.",12,"Nate ON8 Productions",1858,"Edited 7 years ago",5,"Hey Priory its me.😆😆😆 anyone who knows me knows that i treasure the yellow chairs and the atmosphere of the Priory. My first encounter with the Priory was in Youghal. When I learned tat they were opening up shop 8minutes away from where i live, I was very excited. We have gotten to know one another on Instagram and with my regular caffine refueling afternoons. I have attended their coffee cupping as well. Out of all the things that they do; i admire how they do their utmost to support the local community."
"Priory Coffee Co.",12,"Rens De Groot",2111,"3 years ago",3,"The staff is always super nice, always up for a chat. Coffee always used to be great, we used to go here a lot. Lately we noticed that the quality of the coffee has been going down. I feel like there's a lot of new staff, and the quality of the cappuccinos has been going down. Foam is lacking, and cappuccinos are too hot, which makes us choose different coffee places over Priory lately."
"Priory Coffee Co.",12,"Soundy Sound",2369,"a month ago",2,"Only takeaway cups despite having seating inside and outside.
That's enough to put me off but the quality of the coffee has declined too."
"Priory Coffee Co.",12,"Izzy L",1105,"a month ago",5,"Some of the best food I’ve ever had it’s amazing and staff are lovely"
"Priory Coffee Co.",12,"Ryan Gregory",2200,"3 years ago",5,"What a place to get a coffee in cork! Had vanilla latte, got a load of cakes and worth a visit."
"Priory Coffee Co.",12,"Jimmy Qmnui",1228,"6 years ago",5,"Grabbed a quick coffee & veggie roll,cappuccino & croissant combo,great coffee & tasty grub.Very friendly staff & a happy vibe all round."
"Priory Coffee Co.",12,"Jiaan Cui",1217,"a year ago",5,"I didn't have class today, I sat down, ordered a hot American, and enjoyed this afternoon of reading."
"Priory Coffee Co.",12,"Sebastian Szarkowicz",2301,"6 years ago",5,"I discovered this coffee shop few days ago when I was on my bike and it started to rain. Good coffee and nice staff. I missed the cakes."
"Starbucks Princes Street",13,"m malinas5",1586,"a year ago",4,"Great ambiance of this little Starbucks cafe. No wait when I entered. Disappointed in food selection as they were out of a lot of the fresh items, but did have plenty of ready made sandwiches. The lemon muffin I got was fresh and delicious along with my Carmel macchiato. If looking for mech. The selection was small but did have a few cups/mugs I haven’t seen at other locations."
"Starbucks Princes Street",13,"Oren_LG",1952,"Edited a month ago",5,"Very nice quality of drinks. And tiramisu frappuchino the best. Highly recommend."
"Starbucks Princes Street",13,"Michelle Robbins",1781,"2 years ago",4,"There was just one girl managing the orders & serving as well. She was very courteous & friendly. The ambiance itself is cozy & warm."
"Starbucks Princes Street",13,"Linda O Connell",1522,"a year ago",5,"I like getting the gluten free lemon chicken sandwich here. Out of three Starbucks near work this is the one that usually still has this gf dairy and soya free sandwich still in stock in the afternoon. Staff are lovely and helpful. The place is lovely, nice unique art work with words about coffee. Comfy chairs to sit on. Never too crowded, nice atmosphere. Good coffee."
"The Roundy",14,"John Mee",1263,"2 months ago",5,"Very nice bar and the staff were very friendly, as you'd expect from Cork people.
Sit outside - it's great for people watching. There's a good mix of ages and nationalities there too.
Bring a jacket with you because it can get a little chilly if there's a breeze - or maybe that's just the age I'm at!
But let's not talk about my age here - just know that it's a sensitive subject. :-)"
"The Roundy",14,"Grant Oakes",993,"7 months ago",4,"Really nice pub, could spend a few hours there and have a nice time.

Didn't have food and was there for a comedy show."
"The Roundy",14,"Sean o donovan",2296,"3 months ago",1,"The absolutely undeserved level of disrespect and belittlement I was shown today in the “ Roundy bar” in cork city is an absolute disgrace. My girlfriend and I were in town today around lunch time and we decided to go to the “Roundy bar” to sit down and watch the world go by. As neither me or my girlfriend  wanted to drink alcohol she got us two waters and sat outside. At this time we were not made aware by any staff or signs that you need to spend money in order to sit in the bars seats outside. While we were chatting and minding our own business, a lady who seemed to be somewhat in charge but not a manager came out to us and asked us, had we purchased anything from the bar. We informed her we got two waters but she re-asked had we bought anything and we said no. She didn’t even bother to inform/ ask us could we buy something and spend money in order to sit down ( which we would have no problem with). Instead she began to belittle us and treat us as if we were dirt on her shoe while laughing that we can’t sit here as we spent no money. This lady then returned inside and we decided to continue drinking the two glasses of water which we were served inside the same bar without a problem. The lady came back out  and asked us “are we moving on yet “to which I replied “what did we do wrong” . He also informed her that we only occupied 1 table and there were only 3 other occupied tables outside and the bar which was quiet AND EMPTY.All we wanted was to sit down and watch the world go but we were wrong for only getting water ? The lady had little to no response and then snatched what was remaining of my girlfriends glass of water and went inside, also after asking for her name she laughed into my girlfriends face saying “I don’t need to tell you that girl”. In shock and embarrassment of how we were treated, we left immediately. I am absolutely disgusted by how we were made feel and how this could have been easily avoided by simply informing us rather than being condescending. I’m posting this to raise awareness of their level of customer service and we will be making a formal complaint to the manager."
"The Roundy",14,"Thomas O' Neill",2483,"a month ago",1,"Guinness was awful. The staff seemed friendly but when questioned about the quality they became very defensive. Worst Guinness I have had in Cork. I will not go back in the door of the Roundy based on unfriendly staff reaction. They really need to focus on the quality of the drink they are serving and sort it out."
"The Roundy",14,"Stephen Crowley",2389,"3 months ago",5,"Great place to unwind and relax with a refreshing drink and watch the world pass by"
"The Roundy",14,"d watch",588,"a week ago",5,"Nice bar. I was in during the afternoon. Friendly staff. I'll go there again when I have more time."
"The Roundy",14,"aaron cowming",20,"a month ago",5,"One of the best pubs in cork, sometimes great music upstairs. Cool, hippy crowns. Great vibe and right in the city close to all amenities."
"The Roundy",14,"Elk Hunter",795,"10 months ago",5,"Had a couple nice Irish coffees here. Staff was very friendly and attentive. Vibe was laid back and cool. Good place to people watch."
"Liberty Grill",15,"Apriry Ly",267,"a month ago",5,"My experience at Liberty Grill was absolutely wonderful. The service was excellent—the staff was incredibly attentive, professional, and made the entire meal feel special.

The food was also top-notch. Everything we ordered was prepared to perfection and tasted absolutely delicious. It's clear that they use high-quality ingredients and take great pride in their cooking.

I can't recommend Liberty Grill enough. It's a fantastic spot for a meal in the heart of Cork, and I'll definitely be returning."
"Liberty Grill",15,"Stella Wong",2378,"a week ago",5,"We had a lovely dinner at this place on Saturday, the food was delicious, and also the staff were friendly as well! Love they gave us some surprise for our anniversary dinner! Highly recommended!"
"Liberty Grill",15,"Autymn Gelette",294,"a month ago",5,"Food was delicious and fresh. They had so many great options so it was very hard to choose!"
"Liberty Grill",15,"Leandro Romero",1486,"9 months ago",4,"It was a good experience. This is a great brunch in town. Our dishes, the open chicken sandwich, the Irish Benedict, and the chocolate and cranberry French toast were delicious. I highly recommend this place if you want to be sure of a really good option for lunch or brunch in Cork. The value for money was suitable."
"Liberty Grill",15,"Audrey P",291,"a week ago",5,"We had an amazing night at The Liberty Grill. Thank you so much Carol and Jason and all the rest of the staff. Food was excellent, the room had a great vibe. So wonderful to be in a restaurant where the staff are smiling and having fun at work.  Highly recommend."
"Liberty Grill",15,"Kathy O Donnell",1386,"2 months ago",5,"Excellent vegan options, they even have proper desserts! Lovely staff always very kind and accommodating. It’s a small venue so book in advance if possible as it’s so popular. Breakfast is great here too, I love the Jonny cakes. Reliably delicious every time & a varied menu that caters for all. One of my fave restaurants in Cork ."
"Liberty Grill",15,"Frank Cawley",904,"a month ago",5,"Great locally sourced food.  Friendly professional staff who take pride in their excellent work."
"Liberty Grill",15,"Grant Oakes",993,"7 months ago",5,"We came on Friday 28th of Feb for my wife's 30th birthday. The food was excellent and the service was incredible.

The staff really make this place. Would 100% recommend."
"Liberty Grill",15,"Francis",899,"6 months ago",5,"Favourite breakfast place in Ireland. Was there a week or two ago and had the johnnycakes and boxty. Miss it dearly and always look forward to going back"
"Liberty Grill",15,"Gemma Sanderson",938,"a month ago",5,"Great place for breakfast/brunch, but we were lucky to get a table, as very busy."
"Sober Lane",16,"Heather Mayes",1033,"a week ago",5,"We stumbled across this place and are delighted! They have both alcoholic and non-alcoholic beers, ciders, and cocktails. They serve pub fare, including vegetarian and vegan options. We enjoyed the atmosphere very much."
"Sober Lane",16,"Gabs G.",917,"3 weeks ago",5,"Nothing but the best. We had a post christening event at Sober lane and everything was just perfect. We had a party of 25 people and were able to reserve a private area where it just felt like an intimate celebration. All the food came out on time and was all delicious.  The staff kept checking upon us and making sure everything was running smooth, thank you so much everyone for making such an event so memorable and easy."
"Sober Lane",16,"Honest",1056,"3 months ago",5,"Such a lovely place, stunning pub with delicious food!  The roast dinners are the best I’ve ever tasted!  I’ve tried nearly everything on the menu and it’s so hard to decide what to eat as it’s all banging!
The staff are fantastic also, the food is freshly made and absolutely delicious! I highly recommend the roast dinners! Great family pub! My kids love it there also. Beautiful conservatory to sit in and have celebration gatherings 👍 I absolutely recommend this place! It has something for everyone and board games too!
Thanks again for another lovely meal and cocktail 👏 oh and  kids get free ice cream also 👏"
"The Coffee Hut",288,"Bianca Maguire",339,"5 months ago",5,"Lovely experience. The lady was so kind — she gave me some sweets when I mentioned my low blood sugar. Great spot!"
"Sober Lane",16,"Colin O'Brien",546,"4 months ago",1,"We waited over 40 minutes for a burger and some chicken wings, and the place wasn’t busy at all. No idea what took so long but would not recommend. Staff were nice but it was pretty annoying to look at them all just standing around when you’re left three quarters of an hour waiting on what you thought would be a quick bite.

The service rating isn’t a reflection on the floor staff, it’s just for the slow kitchen. Such a shame because it ruined what would otherwise have been an enjoyable experience."
"Sober Lane",16,"Anthony Kerr",244,"3 months ago",5,"Called in on Thursday evening for food and had the best sandwiches we've ever had. We both had the special (think it was called the Sopranos) and chips/fries as well. The picture don't do it justice,"
"Sober Lane",16,"Autymn Gelette",294,"a month ago",5,"The Bang Bang Cauliflower was pretty good (wish it had less of the mayo based sauce and more of the red sauce) but the Sticky Toffee Pudding was PERFECT."
"Sober Lane",16,"Sam Hoyle",2225,"a month ago",5,"Grainne was an absolute star and made mine and my husband’s dinner date a smashing hit! We will be back for the great food and lovely lovely atmosphere ❤️"
"Sober Lane",16,"A J (Lexi)",14,"a month ago",5,"Beamish!!! Neat place midday, probably bustling in the evening. Very cool wall art!!"
"Sober Lane",16,"Drasti Brown",749,"a month ago",5,"Recently they got rid of few vegan options and I only got chips. The manager noticed and was very kind enough to replace it with nachos which was much filling. The manager at sober lane was very kind enough and very friendly. I highly recommend sober lane ❤️"
"Old Oak",17,"stu stuart",2410,"3 weeks ago",5,"My favourite bar in cork. Good music. Gorgeous pub. Great staff."
"Old Oak",17,"Vincent Wells",2582,"3 months ago",5,"First pub we visited in Cork and loved the olde worldy feel of the pub with all the up to date stuff. Lovely staff and a good selection of beers 🍻. Very large pub with plenty of seating all over the place."
"Old Oak",17,"Gerry Callahan",958,"5 months ago",5,"Bartender was helpful on the drinks. Beautiful decor, especially the stained-glass skylight. Regular customers were welcoming and super friendly, easy to have a conversation with."
"Old Oak",17,"Jackie Smith",1126,"a month ago",5,"Authentic experience with Irish music and dancing. The musicians were amazing and really got the crowd going and the dancer was fantastic! Felt like I already knew everyone there! Highly recommend, especially on Wednesdays from 8-10when this band and dancer are there!"
"Old Oak",17,"George Triantafyllopoulos (inucha)",946,"6 months ago",1,"Literally been waiting for 17 min. No server has looked at us let alone come to get our order they just keep avoiding eye contact. Prob gonna leave.. a couple next to us said they been here for 45 min and no food has been brought out sad

Edit: after 22 min we left.. yes I counted haha was taking medicine.."
"Old Oak",17,"Andy",206,"3 weeks ago",1,"Love the staff and service but the guy with karaoke choosing the song unfortunately made this a one star. Doesn't go by order of the songs requested, randomizes it and also if you line up for an age he wont play it. Sad, good atmosphere."
"Old Oak",17,"Ama-Now",159,"a month ago",1,"I ordered Chicken Parisienne. Rice cold, chicken very hard to cut, asparagus to salty. Not recommended at all."
"Old Oak",17,"William Cove",2608,"3 weeks ago",5,"I popped by The Old Oak after landing at Cork Airport and before catching a bus onwards and was very glad I did. It was a wonderfully warm and welcoming spot full of friendly and chatty locals. The light lunch was dandy and the couple of pints to wash it down were even better. The star of the show, though, was the exceptional service, energy and attitude of Laura behind the bar! Hope to pop by again when back in town. 😊"
"Old Oak",17,"Oren_LG",1952,"4 months ago",5,"Very good Irish pub, good quality food, good atmosphere and professional staff. Very satisfied and recommen."
"Old Oak",17,"Ryan Inofinada",2201,"2 weeks ago",5,"Very spacious. Love the vibe! Not so loud too"
"The Idle Hour",18,"Paddy O'Connell",1971,"a year ago",5,"Decent locals bar in the docks area know as 'Jewtown'.
Friendly and first bar you encounter if you come along Kennedy Quay from the Marina Market.
You can see how all the new office blocks are built around this holdout."
"The Idle Hour",18,"War Pig",2596,"8 months ago",5,"Great find walking back towards town after eating at marina markets.

Felt very much like a locals place but was still very welcoming. The barman was friendly and even provided free pizza for everyone in the bar! What a gentleman!"
"The Idle Hour",18,"Cormac Brennan",568,"2 months ago",5,"Idle Hour very kindly hosted the afterparty for the Frontrunners & Briskwalkers Cork Pride 5K 2025 in conjunction with Cork Pride. With almost 100 people attending the event the service and atmosphere provided was top notch and we are very grateful for the same."
"The Idle Hour",18,"Greg Daly",995,"a week ago",4,"Great pub for a smashing pint of stout and reasonable on the edge of cork city."
"The Idle Hour",18,"Soundy Sound",2369,"10 months ago",3,"What should be a gorgeous old school pub is ruined by screens. There are 2 huge TVs behind the bar showing 2 different sports that no one was watching while I was there. Added to this were 2 bright advertising screens running Guinness adds.
Their poor choice of strobing Christmas lights combine with the screens to create a very flashy amusement arcade like atmosphere.
Service was friendly and efficient.
This could be a beautiful pub."
"The Idle Hour",18,"Joce Coughlan",1240,"a month ago",5,"Post concert drinks,friendly staff nice atmosphere and cold drinks."
"KC & Son & Sons",335,"Karina Alves",1353,"5 months ago",5,"It's a very affordable and quick option for a meal. I ordered a Smokin' Hot Cheesesteak, and it had a pleasant level of spice; it was delicious.  The restaurant doesn't offer seating, but it's convenient to eat at the nearby mall food court if you're exploring the area.
The biscoff milkshake is delicious, too."
