name,place_id,restaurant_type,cuisine_type,address,rating,review_count,price_range,Phone_number,website,url,atmosphere,dietary_options,service_options,amenities
Southside Bar,11,Pub,Irish,"152 Bandon Rd, The Lough, Cork, T12 F258, Ireland",4.4,44,€10-25,+353 86 901 2345,,https://www.google.com/maps/place/Southside+Bar/data=!4m7!3m6!1s0x48449018973b91c9:0xf666dde9267ba01d!8m2!3d51.8925516!4d-8.4820061!16s%2Fg%2F1q63cjh7x!19sChIJyZE7lxiQREgRHaB7JundZvY?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Priory Coffee Co.,12,Cafe,Sweets and Savory,"1 N Main St, Centre, Cork, T12 HX58, Ireland",4.6,46,€5-15,+353 21 012 3456,https://www.google.com/url?q=http://www.priorycoffee.com/&opi=79508299&sa=U&ved=0ahUKEwjRiPCV2ZiQAxX9RWwGHWm3Dt0Q61gIFigO&usg=AOvVaw2Iler0fWVeSDlS_Sa0cm3W,https://www.google.com/maps/place/Priory+Coffee+Co./data=!4m7!3m6!1s0x48449016b0dbd21b:0xca4b2d510f5710f4!8m2!3d51.9008299!4d-8.479545!16s%2Fg%2F11gbnmx26v!19sChIJG9LbsBaQREgR9BBXD1EtS8o?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Starbucks Princes Street,13,Cafe,American,"39 Princes St, Centre, Cork, T12 EFK8, Ireland",4.1,41,€5-15,+353 21 123 4567,https://www.google.com/url?q=http://www.starbucks.ie/&opi=79508299&sa=U&ved=0ahUKEwiA2suh2ZiQAxXfbmwGHUJEJ_YQ61gIGigS&usg=AOvVaw2r6BntcyXoZH6wLDfexVpG,https://www.google.com/maps/place/Starbucks+Princes+Street/data=!4m7!3m6!1s0x4844901065cc2f65:0xf7fc75ed246a6d5d!8m2!3d51.8976562!4d-8.4735632!16s%2Fg%2F11b7frff85!19sChIJZS_MZRCQREgRXW1qJO11_Pc?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery","Bar, WiFi"
The Roundy,14,Cafe,Irish,"1 Castle St, Centre, Cork, T12 RX09, Ireland",4.4,44,€10-25,+353 21 427 1049,https://www.google.com/url?q=https://www.theroundy.com/&opi=79508299&sa=U&ved=0ahUKEwji6r2u2ZiQAxVFUGcHHatGFb8Q61gIGygS&usg=AOvVaw10AVq3hgDubePMwQ1I7ZyM,https://www.google.com/maps/place/The+Roundy/data=!4m7!3m6!1s0x48449010db4872a7:0x64a9d592a8e316b6!8m2!3d51.8987903!4d-8.4761258!16s%2Fg%2F1tdmjwxn!19sChIJp3JI2xCQREgRthbjqJLVqWQ?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Liberty Grill,15,Restaurant,American,"32 Washington St, Centre, Cork, T12 T880, Ireland",4.7,47,€20-35,+353 21 234 5678,https://www.google.com/url?q=http://www.libertygrill.ie/&opi=79508299&sa=U&ved=0ahUKEwjHr7K72ZiQAxUqS2wGHRtmLaIQ61gIFygS&usg=AOvVaw3rJL2W1H87BhmyDtUHXFpA,https://www.google.com/maps/place/Liberty+Grill/data=!4m7!3m6!1s0x484490174a2931d9:0xafd7259e61199402!8m2!3d51.8977446!4d-8.4780128!16s%2Fg%2F1tncs99d!19sChIJ2TEpSheQREgRApQZYZ4l168?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Sober Lane,16,Pub,Continental,"5 Sullivan's Quay, Cork, T12 H771, Ireland",4.4,44,€10-25,+353 83 345 6789,https://www.google.com/url?q=http://www.soberlane.com/&opi=79508299&sa=U&ved=0ahUKEwj0lMvH2ZiQAxX2TmwGHZNDO4YQ61gIGygS&usg=AOvVaw3ECW-sTjZ6XUfh88FHYigx,https://www.google.com/maps/place/Sober+Lane/data=!4m7!3m6!1s0x4844901af330461f:0x1a57ae25e67b6bbf!8m2!3d51.895513!4d-8.4729269!16s%2Fg%2F1tj459jg!19sChIJH0Yw8xqQREgRv2t75iWuVxo?authuser=0&hl=en&rclk=1,Lively,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Old Oak,17,Pub,Irish,"113 Oliver Plunkett St, Centre, Cork, T12 PY8A, Ireland",4,40,€10-25,+353 21 345 6789,https://www.google.com/url?q=http://www.facebook.com/oldoak&opi=79508299&sa=U&ved=0ahUKEwjymuLU2ZiQAxXZUGwGHbLsNdUQ61gIGygS&usg=AOvVaw1JJp8bssd7JWylOw0urGb7,https://www.google.com/maps/place/Old+Oak/data=!4m7!3m6!1s0x4844900fe85234cb:0x4245a5ce53447896!8m2!3d51.8981475!4d-8.4700319!16s%2Fg%2F1tfxg2dr!19sChIJyzRS6A-QREgRlnhEU86lRUI?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery","Bar, Live music"
The Idle Hour,18,Pub,Irish,"Albert Quay, Centre, Cork, Ireland",4.5,45,€10-25,+353 21 456 7890,,https://www.google.com/maps/place/The+Idle+Hour/data=!4m7!3m6!1s0x4844900622ee6f0f:0xa07d7856347f815b!8m2!3d51.8982536!4d-8.4611904!16s%2Fg%2F1q62cgfbp!19sChIJD2_uIgaQREgRW4F_NFZ4faA?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Thompsons Cork,19,Restaurant,Irish,"Unit D, Thompson House, MacCurtain Street, Victorian Quarter, Cork, T23 RR0C, Ireland",4.4,44,€10-25,+353 85 456 7890,https://www.google.com/url?q=https://www.thompsonscork.ie/&opi=79508299&sa=U&ved=0ahUKEwiO1sPt2ZiQAxU8cGwGHc-QAXgQ61gIFygS&usg=AOvVaw2azIarCz98h7sQSpxLjkTI,https://www.google.com/maps/place/Thompsons+Cork/data=!4m7!3m6!1s0x4844919347ff6139:0x50f7fa426943a1e!8m2!3d51.901444!4d-8.4666218!16s%2Fg%2F11j8wnzy00!19sChIJOWH_R5ORREgRHjqUJqR_DwU?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Courthouse Tavern,20,Pub,Irish,"3 Cross St, Centre, Cork, T12 XH42, Ireland",4.5,45,€10-25,+353 21 567 8901,,https://www.google.com/maps/place/Courthouse+Tavern/data=!4m7!3m6!1s0x48449017368b88cf:0x66659fd7fe1ff3ca!8m2!3d51.8980595!4d-8.4782656!16s%2Fg%2F1pzsvhghg!19sChIJz4iLNheQREgRyvMf_tefZWY?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
An Bodhrán,21,Pub,Irish,"42 Oliver Plunkett St, Centre, Cork, T12 X021, Ireland",4.4,44,€10-25,+353 21 678 9012,,https://www.google.com/maps/place/An+Bodhr%C3%A1n/data=!4m7!3m6!1s0x484490100df11081:0x32006fa79a5f779!8m2!3d51.8975948!4d-8.4720264!16s%2Fg%2F1tj3kgvz!19sChIJgRDxDRCQREgRefelefoGIAM?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
The Corner House,22,Pub,Irish,"Coburg Lane, 7 Coburg St, Victorian Quarter, Cork, T23 FW10, Ireland",4.7,47,€10-25,+353 87 678 9012,,https://www.google.com/maps/place/The+Corner+House/data=!4m7!3m6!1s0x4844900e1017d0e5:0x2b2422e10f346809!8m2!3d51.9016912!4d-8.470925!16s%2Fg%2F1td6m1s1!19sChIJ5dAXEA6QREgRCWg0D-EiJCs?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
O Connors Old Bank Cafe,23,Cafe,Irish,"Colmcille Ave, Montenotte, Cork, Ireland",4.6,46,€5-15,+353 21 789 0123,https://www.google.com/url?q=https://www.facebook.com/oldbankcafe/&opi=79508299&sa=U&ved=0ahUKEwiTzZae2piQAxUGTmwGHdI-NbwQ61gIGygS&usg=AOvVaw1R12Z5Oxu9tiwAi1-1s3tL,https://www.google.com/maps/place/O+Connors+Old+Bank+Cafe/data=!4m7!3m6!1s0x48449a95bfe5d5c3:0xfa9a108a19ec3949!8m2!3d51.9112167!4d-8.4382982!16s%2Fg%2F11f15f1_tl!19sChIJw9Xlv5WaREgRSTnsGYoQmvo?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
SOMA Coffee Company,24,Cafe,Sweets and Savory,"23 Tuckey St, Centre, Cork, T12 WD38, Ireland",4.6,46,€5-15,+353 21 890 1234,https://www.google.com/url?q=http://www.somacoffeecompany.ie/&opi=79508299&sa=U&ved=0ahUKEwicw_mp2piQAxW2RWwGHXNXM7wQ61gIGigS&usg=AOvVaw2n9RURqRH46YZLP6h_0otK,https://www.google.com/maps/place/SOMA+Coffee+Company/data=!4m7!3m6!1s0x48449010a0355709:0x2f50b263b330f3e5!8m2!3d51.8969881!4d-8.4758478!16s%2Fg%2F11dz0j79y_!19sChIJCVc1oBCQREgR5fMws2OyUC8?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The River Club,25,Bar,Irish,"Western Rd, The Lough, Cork, T12 X2AH, Ireland",4.6,46,€10-25,+353 86 890 1234,https://www.google.com/url?q=https://theriverclubcork.ie/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Drestaurant-theriverclub&opi=79508299&sa=U&ved=0ahUKEwjil7222piQAxV1a2wGHT9OFxMQ61gIFygS&usg=AOvVaw2lmprEvcsa2QXryUrSTpmD,https://www.google.com/maps/place/The+River+Club/data=!4m7!3m6!1s0x48449119de675a7f:0xa455204cc3934b95!8m2!3d51.8958811!4d-8.4845993!16s%2Fg%2F1tgmvp61!19sChIJf1pn3hmRREgRlUuTw0wgVaQ?authuser=0&hl=en&rclk=1,Trendy,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Burritos & Blues,26,Street Food,Mexican,"8 9 Paul St, Centre, Cork, T12 RT20, Ireland",4.3,43,€10-25,+353 21 901 2345,https://www.google.com/url?q=http://www.burritos.ie/&opi=79508299&sa=U&ved=0ahUKEwjnn9DC2piQAxWNR2wGHRZIJx4Q61gIGigS&usg=AOvVaw1fm4WvlLH1gb1IrJ1P6QWu,https://www.google.com/maps/place/Burritos+%26+Blues/data=!4m7!3m6!1s0x48449010558f07a1:0x2ecf62c095b8bd9b!8m2!3d51.8992552!4d-8.4745763!16s%2Fg%2F11bwyh5hll!19sChIJoQePVRCQREgRm724lcBizy4?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Cork Arms,27,Pub,Irish,"23 MacCurtain Street, Victorian Quarter, Cork, T23 HW70, Ireland",4.4,44,€10-25,+353 21 012 3456,https://www.google.com/url?q=http://corkarms.ie/&opi=79508299&sa=U&ved=0ahUKEwi138fO2piQAxX0RmwGHRyrM58Q61gIFigS&usg=AOvVaw0DUJwInNUIs4osj1z99HtV,https://www.google.com/maps/place/The+Cork+Arms/data=!4m7!3m6!1s0x4844900e665df9bf:0xa855ce733bf71a63!8m2!3d51.9014489!4d-8.4689746!16s%2Fg%2F1q62m0b82!19sChIJv_ldZg6QREgRYxr3O3POVag?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
The Oyster Tavern,28,Pub,Irish,"4 Market's Lane, St Patrick's St, Centre, Co. Cork, T12 NP29, Ireland",4.4,44,€10-25,+353 83 901 2345,https://www.google.com/url?q=http://www.oystertavern.ie/&opi=79508299&sa=U&ved=0ahUKEwj_0ovb2piQAxXFTmwGHX5LI7IQ61gIFygS&usg=AOvVaw2InPXPzj_YWMYxOdvFFqct,https://www.google.com/maps/place/The+Oyster+Tavern/data=!4m7!3m6!1s0x484490108b95bac7:0xdcf176099be3c5eb!8m2!3d51.898172!4d-8.4744741!16s%2Fg%2F119v84nr4!19sChIJx7qVixCQREgR68Xjmwl28dw?authuser=0&hl=en&rclk=1,Casual,Non-Veg,Takeaway,Bar
Costa Coffee,29,Cafe,Continental,"Douglas, Cork, Ireland",4.1,41,€5-15,+353 21 123 4567,https://www.google.com/url?q=http://www.costaireland.ie/&opi=79508299&sa=U&ved=0ahUKEwiPzsPm2piQAxU0R2wGHXuzBxIQ61gIGCgQ&usg=AOvVaw1EiZyR8CdpAkhg_4PZtUmt,https://www.google.com/maps/place/Costa+Coffee/data=!4m7!3m6!1s0x484485458f1e5ac1:0xbc352b6759b26c6a!8m2!3d51.878165!4d-8.4321044!16s%2Fg%2F11cn6cdkps!19sChIJwVoej0WFREgRamyyWWcrNbw?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Sonflour,30,Cafe,Italian,"9 Castle St, Centre, Cork, T12 AD9E, Ireland",4.9,49,€5-15,+353 21 234 5678,https://www.google.com/url?q=http://www.sonflour.ie/&opi=79508299&sa=U&ved=0ahUKEwi-zsfy2piQAxWSTGwGHXdpJuMQ61gIGigS&usg=AOvVaw3VFIVMjymIJjgt6T0fJez_,https://www.google.com/maps/place/Sonflour/data=!4m7!3m6!1s0x484491a4bcf17b05:0xc8002f418ec0b397!8m2!3d51.8985422!4d-8.4768544!16s%2Fg%2F11q8jgvkvn!19sChIJBXvxvKSRREgRl7PAjkEvAMg?authuser=0&hl=en&rclk=1,Casual,Vegetarian,"Dine-in, Takeaway, Delivery",Bar
MYXTIQ Cork City,31,Restaurant,Indian,"38 Pope's Quay, Shandon, Cork, T23 R2WP, Ireland",4.3,43,€10-25,+353 21 427 7307,https://www.google.com/url?q=https://myxtiq.ie/&opi=79508299&sa=U&ved=0ahUKEwiayL__2piQAxUbXWwGHbmtAxAQ61gIGigS&usg=AOvVaw2lC5eU_wSJEVl__cZeQJSq,https://www.google.com/maps/place/MYXTIQ+Cork+City/data=!4m7!3m6!1s0x484491ab99351725:0x1a52706ebd4171a3!8m2!3d51.9013217!4d-8.4758332!16s%2Fg%2F11v6t0v_4s!19sChIJJRc1mauRREgRo3FBvW5wUho?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery, Kerbside pickup",Bar
The Raven Bar,32,Bar,Continental,"100 S Main St, Centre, Cork, T12 VY4X, Ireland",4.6,46,€10-25,+353 85 345 6789,https://www.google.com/url?q=http://www.theravenbar.com/&opi=79508299&sa=U&ved=0ahUKEwibzJqM25iQAxX9RWwGHWm3Dt0Q61gIGygS&usg=AOvVaw17CiC8P3p-n-VAAbQrA4W6,https://www.google.com/maps/place/The+Raven+Bar/data=!4m7!3m6!1s0x48449010ce96bf79:0x993703351702954f!8m2!3d51.8982484!4d-8.4773972!16s%2Fg%2F11bbrmmp9d!19sChIJeb-WzhCQREgRT5UCFzUDN5k?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
O'Cionnaighs Pub Shandon,33,Pub,Irish,"26 Church St, Shandon, Cork, T23 DY28, Ireland",4.2,42,€10-25,+353 21 345 6789,,https://www.google.com/maps/place/O%27Cionnaighs+Pub+Shandon/data=!4m7!3m6!1s0x48449013b87159c7:0xac7ad61f3f8bca4!8m2!3d51.9033011!4d-8.4769002!16s%2Fg%2F11c74z7ppy!19sChIJx1lxuBOQREgRpLz482Gtxwo?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Upstairs,34,Restaurant,Continental,"7 Pembroke St, Centre, Cork, T12 VR62, Ireland",4.8,48,€10-25,+353 21 456 7890,,https://www.google.com/maps/place/Upstairs/data=!4m7!3m6!1s0x4844900ff09898cf:0x844ad74a4aa06735!8m2!3d51.8976058!4d-8.4698826!16s%2Fg%2F11gfdq53fs!19sChIJz5iY8A-QREgRNWegSkrXSoQ?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Takeaway, Delivery",Bar
Dukes Coffee Company,35,Cafe,Sweets and Savory,"4 Carey's Ln, Centre, Cork, T12 YY89, Ireland",4.4,44,€5-15,+353 87 456 7890,https://www.google.com/url?q=http://www.dukes.ie/&opi=79508299&sa=U&ved=0ahUKEwjU2syw25iQAxWgamwGHRkwLHoQ61gIGigS&usg=AOvVaw0qPIT0BofDAtLvZ9k-Ci2f,https://www.google.com/maps/place/Dukes+Coffee+Company/data=!4m7!3m6!1s0x484490105b821183:0x1b8f0419f45b9faa!8m2!3d51.89915!4d-8.4740307!16s%2Fg%2F11b6dq7cn6!19sChIJgxGCWxCQREgRqp9b9BkEjxs?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Liberty Bar X Resistance,36,Bar,Irish,"92/93 S Main St, Centre, Cork, T12 Y2CC, Ireland",4.5,45,€10-25,+353 21 567 8901,https://www.google.com/url?q=http://www.thelibertybar.ie/&opi=79508299&sa=U&ved=0ahUKEwiWl-C825iQAxUWVmwGHXSBI_QQ61gIGygS&usg=AOvVaw30JbMYTtfxcpcL4b2-gLn4,https://www.google.com/maps/place/The+Liberty+Bar+X+Resistance/data=!4m7!3m6!1s0x48449010cebc41bf:0x30de402646d31536!8m2!3d51.8978792!4d-8.4773127!16s%2Fg%2F11f_475nnp!19sChIJv0G8zhCQREgRNhXTRiZA3jA?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
De Calf Cafe,37,Cafe,Irish,"Unit 4, The Cornmarket Centre, Cornmarket St, Centre, Cork, T12 W6EP, Ireland",4.3,43,€5-15,+353 21 678 9012,https://www.google.com/url?q=https://www.facebook.com/decalfcafe/&opi=79508299&sa=U&ved=0ahUKEwi9pJHJ25iQAxWiSmwGHUtTA3YQ61gIGigS&usg=AOvVaw1iGqIBbYMuSRKZQqYMxjtN,https://www.google.com/maps/place/De+Calf+Cafe/data=!4m7!3m6!1s0x484490111fe9383b:0xca86c3fd0421db17!8m2!3d51.8994771!4d-8.4760618!16s%2Fg%2F11clwflm4b!19sChIJOzjpHxGQREgRF9shBP3Dhso?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Cornstore Cork,38,Restaurant,Irish,"41-43, Cornmarket St, Centre, Cork, T12 R886, Ireland",4.4,44,€20-35,+353 83 678 9012,https://www.google.com/url?q=https://cornstore.ie/&opi=79508299&sa=U&ved=0ahUKEwjw-dvV25iQAxXUT2wGHTQhGcsQ61gIFygS&usg=AOvVaw0ChSLip2eOhPqDfdJrgDO2,https://www.google.com/maps/place/Cornstore+Cork/data=!4m7!3m6!1s0x48449010dd8d3099:0x43e382f494feca4f!8m2!3d51.8990393!4d-8.4765337!16s%2Fg%2F1thvgbmz!19sChIJmTCN3RCQREgRT8r-lPSC40M?authuser=0&hl=en&rclk=1,"Upscale, Trendy",Non-Veg,"Dine-in, Takeaway",Bar
Tory's Cafe,39,Cafe,Irish,"74 Tory Top Rd, Ballyphehane, Cork, T12 AH2Y, Ireland",4.8,48,€5-15,+353 21 789 0123,https://www.google.com/url?q=http://www.toryscafe.com/&opi=79508299&sa=U&ved=0ahUKEwim8Pfh25iQAxWiSGwGHVrbN3sQ61gIGigS&usg=AOvVaw2dSP79pzIUj7wxysRkWEj6,https://www.google.com/maps/place/Tory%27s+Cafe/data=!4m7!3m6!1s0x48448ff225913c15:0x73eadaa11402173a!8m2!3d51.884256!4d-8.4755636!16s%2Fg%2F11hz5tyrsy!19sChIJFTyRJfKPREgROhcCFKHa6nM?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
Coffee Corner Cafe,40,Cafe,Sweets and Savory,"Eastgate Ave, Castleview, Little Island, Co. Cork, Ireland",4.2,42,€5-15,+353 21 890 1234,,https://www.google.com/maps/place/Coffee+Corner+Cafe/data=!4m7!3m6!1s0x48449b503cdbc1bb:0xa553e8fa644e03cf!8m2!3d51.9034074!4d-8.3595988!16s%2Fg%2F11g6hvd1d0!19sChIJu8HbPFCbREgRzwNOZProU6U?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
The Joshua Tree,41,Pub,Irish,"70 Blarney St, Sunday's Well, Cork, T23 NN12, Ireland",4.5,45,€10-25,+353 86 890 1234,,https://www.google.com/maps/place/The+Joshua+Tree/data=!4m7!3m6!1s0x4844903e00ce3b51:0xb3b85e6841ea4d0b!8m2!3d51.9014339!4d-8.4863414!16s%2Fg%2F11bbwy_1tq!19sChIJUTvOAD6QREgRC03qQWheuLM?authuser=0&hl=en&rclk=1,Casual,Non-Veg,"Dine-in, Takeaway, Delivery",Bar
